Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,52.459999,52.470001,50.830002,50.900002,25.246538,7346800
2005-01-04,50.980000,51.459999,50.400002,50.549999,25.072941,7157500
2005-01-05,50.669998,51.250000,50.490002,50.880001,25.236609,5524000
2005-01-06,50.799999,51.950001,50.599998,51.730000,25.658222,5849700
2005-01-07,51.730000,51.740002,50.799999,51.150002,25.370537,5095100
2005-01-10,51.240002,51.990002,51.160000,51.380001,25.484615,5179600
2005-01-11,51.500000,51.680000,51.110001,51.400002,25.494537,4685000
2005-01-12,51.410000,52.509998,51.340000,52.490002,26.035179,5454800
2005-01-13,52.570000,53.529999,52.000000,52.060001,25.821907,6078300
2005-01-14,52.099998,52.450001,51.930000,52.299999,25.940945,4538500
2005-01-18,52.560001,53.090000,52.380001,53.090000,26.332783,6670000
2005-01-19,53.110001,53.139999,52.680000,52.689999,26.134388,4742200
2005-01-20,52.689999,52.689999,51.820000,51.959999,25.772301,5541800
2005-01-21,52.000000,52.490002,51.980000,51.980000,25.782230,4253300
2005-01-24,52.299999,53.110001,52.279999,52.570000,26.074862,4991100
2005-01-25,52.730000,53.060001,52.400002,53.040001,26.307995,4603700
2005-01-26,53.419998,53.770000,53.119999,53.540001,26.555981,5623700
2005-01-27,53.549999,54.200001,53.400002,54.060001,26.813904,4482800
2005-01-28,54.070000,54.099998,53.220001,53.720001,26.645267,4808200
2005-01-31,53.730000,54.549999,53.299999,54.400002,26.982550,6161500
2005-02-01,54.650002,55.160000,54.630001,55.150002,27.354546,6368900
2005-02-02,55.189999,55.869999,55.180000,55.529999,27.543030,4834700
2005-02-03,55.529999,56.250000,55.230000,56.240002,27.895203,5003100
2005-02-04,56.330002,56.750000,55.770000,56.740002,28.143194,5387600
2005-02-07,56.750000,56.799999,56.029999,56.259998,27.905113,5098800
2005-02-08,56.250000,56.750000,56.049999,56.599998,28.073751,4198700
2005-02-09,56.480000,56.750000,55.910000,56.160000,27.855520,4989800
2005-02-10,56.650002,57.669998,56.299999,57.400002,28.470554,7157700
2005-02-11,57.500000,58.590000,57.439999,58.160000,28.847536,6218800
2005-02-14,57.759998,58.369999,57.700001,58.110001,29.022333,5033300
2005-02-15,58.240002,58.340000,57.759998,58.169998,29.052282,3962900
2005-02-16,58.169998,59.599998,58.119999,59.500000,29.716537,5273300
2005-02-17,59.570000,59.869999,58.450001,58.610001,29.272043,6346800
2005-02-18,58.650002,60.240002,58.500000,59.730000,29.831423,6554000
2005-02-22,59.950001,61.080002,59.340000,59.340000,29.636627,8365000
2005-02-23,59.389999,60.230000,59.340000,60.160000,30.046162,4481800
2005-02-24,60.299999,61.240002,59.900002,61.160000,30.545618,6135400
2005-02-25,61.160000,63.150002,61.160000,61.939999,30.935160,8809300
2005-02-28,62.360001,62.799999,60.240002,62.080002,31.005079,9340500
2005-03-01,62.080002,62.130001,60.740002,60.939999,30.435734,7370500
2005-03-02,60.939999,61.880001,60.849998,61.570000,30.750385,6955900
2005-03-03,61.570000,61.570000,60.750000,61.189999,30.560589,7776700
2005-03-04,61.070000,61.930000,60.599998,61.709999,30.820286,7581700
2005-03-07,61.549999,61.799999,60.740002,61.400002,30.665474,5755400
2005-03-08,61.180000,61.900002,61.070000,61.500000,30.715408,7361100
2005-03-09,61.500000,62.099998,59.650002,59.759998,29.846394,10872000
2005-03-10,59.580002,59.590000,57.770000,58.490002,29.212112,14702900
2005-03-11,58.250000,59.419998,57.980000,58.299999,29.117216,9268800
2005-03-14,58.480000,58.970001,57.599998,58.939999,29.436853,7710000
2005-03-15,59.389999,59.599998,58.029999,58.169998,29.052282,6797500
2005-03-16,58.169998,59.250000,57.610001,58.610001,29.272043,7440100
